request_id,latency_ms,completed_at_ms,op
yscb_transfer:1088,2,1773332449121,yscb_transfer 961->44
yscb_transfer:1089,2,1773332449121,yscb_transfer 325->851
yscb_transfer:1091,1,1773332449131,yscb_transfer 532->720
yscb_transfer:1092,1,1773332449132,yscb_transfer 416->241
yscb_transfer:1093,2,1773332449133,yscb_transfer 592->340
yscb_transfer:1094,2,1773332449134,yscb_transfer 448->661
yscb_transfer:1095,2,1773332449135,yscb_transfer 744->821
yscb_transfer:1096,2,1773332449135,yscb_transfer 939->316
yscb_transfer:1097,2,1773332449135,yscb_transfer 667->55
yscb_transfer:1098,2,1773332449136,yscb_transfer 904->783
yscb_transfer:1099,2,1773332449136,yscb_transfer 931->523
yscb_transfer:1100,2,1773332449136,yscb_transfer 815->7
yscb_transfer:1101,1,1773332449144,yscb_transfer 5->827
yscb_transfer:1102,1,1773332449145,yscb_transfer 866->120
yscb_transfer:1105,1,1773332449146,yscb_transfer 975->759
yscb_transfer:1103,1,1773332449146,yscb_transfer 278->426
yscb_transfer:1104,2,1773332449146,yscb_transfer 914->396
yscb_transfer:1106,2,1773332449147,yscb_transfer 827->925
yscb_transfer:1107,2,1773332449148,yscb_transfer 765->535
yscb_transfer:1108,2,1773332449148,yscb_transfer 404->358
yscb_transfer:1109,2,1773332449148,yscb_transfer 536->511
yscb_transfer:1110,1,1773332449148,yscb_transfer 12->786
yscb_transfer:1111,1,1773332449158,yscb_transfer 449->27
yscb_transfer:1113,1,1773332449159,yscb_transfer 279->174
yscb_transfer:1112,1,1773332449159,yscb_transfer 406->974
yscb_transfer:1114,2,1773332449160,yscb_transfer 504->993
yscb_transfer:1116,2,1773332449161,yscb_transfer 415->757
yscb_transfer:1115,2,1773332449161,yscb_transfer 544->906
yscb_transfer:1119,1,1773332449162,yscb_transfer 387->664
yscb_transfer:1117,2,1773332449162,yscb_transfer 377->174
yscb_transfer:1118,1,1773332449162,yscb_transfer 381->299
yscb_transfer:1120,2,1773332449163,yscb_transfer 377->664
yscb_transfer:1121,1,1773332449173,yscb_transfer 94->727
yscb_transfer:1122,1,1773332449174,yscb_transfer 413->799
yscb_transfer:1123,1,1773332449174,yscb_transfer 562->17
yscb_transfer:1124,1,1773332449175,yscb_transfer 897->493
yscb_transfer:1125,1,1773332449175,yscb_transfer 307->667
yscb_transfer:1126,1,1773332449176,yscb_transfer 138->494
yscb_transfer:1127,1,1773332449176,yscb_transfer 397->25
yscb_transfer:1128,1,1773332449177,yscb_transfer 737->180
yscb_transfer:1129,1,1773332449177,yscb_transfer 684->166
yscb_transfer:1130,1,1773332449177,yscb_transfer 115->55
yscb_transfer:1131,1,1773332449188,yscb_transfer 547->964
yscb_transfer:1132,1,1773332449189,yscb_transfer 551->410
yscb_transfer:1134,1,1773332449190,yscb_transfer 243->480
yscb_transfer:1133,1,1773332449190,yscb_transfer 99->547
yscb_transfer:1135,1,1773332449191,yscb_transfer 999->218
yscb_transfer:1136,1,1773332449191,yscb_transfer 720->176
yscb_transfer:1137,1,1773332449192,yscb_transfer 980->367
yscb_transfer:1138,1,1773332449192,yscb_transfer 374->157
yscb_transfer:1139,1,1773332449193,yscb_transfer 958->606
yscb_transfer:1140,1,1773332449193,yscb_transfer 838->241
yscb_transfer:1141,1,1773332449204,yscb_transfer 191->326
yscb_transfer:1142,1,1773332449205,yscb_transfer 224->584
yscb_transfer:1143,1,1773332449206,yscb_transfer 872->730
yscb_transfer:1144,1,1773332449206,yscb_transfer 277->719
yscb_transfer:1145,1,1773332449207,yscb_transfer 500->676
yscb_transfer:1147,1,1773332449208,yscb_transfer 126->647
yscb_transfer:1146,1,1773332449208,yscb_transfer 749->17
yscb_transfer:1150,1,1773332449209,yscb_transfer 640->480
yscb_transfer:1148,1,1773332449209,yscb_transfer 504->581
yscb_transfer:1149,1,1773332449209,yscb_transfer 198->328
yscb_transfer:1151,1,1773332449220,yscb_transfer 676->565
yscb_transfer:1152,1,1773332449221,yscb_transfer 191->308
yscb_transfer:1153,1,1773332449222,yscb_transfer 434->177
yscb_transfer:1154,1,1773332449223,yscb_transfer 390->676
yscb_transfer:1155,1,1773332449223,yscb_transfer 112->851
yscb_transfer:1156,1,1773332449224,yscb_transfer 871->929
yscb_transfer:1157,1,1773332449224,yscb_transfer 753->351
yscb_transfer:1158,1,1773332449224,yscb_transfer 8->719
yscb_transfer:1160,1,1773332449225,yscb_transfer 978->746
yscb_transfer:1159,1,1773332449225,yscb_transfer 253->917
yscb_transfer:1161,1,1773332449236,yscb_transfer 904->137
yscb_transfer:1162,1,1773332449237,yscb_transfer 182->217
yscb_transfer:1163,1,1773332449238,yscb_transfer 874->87
yscb_transfer:1164,1,1773332449238,yscb_transfer 381->277
yscb_transfer:1165,1,1773332449239,yscb_transfer 838->661
yscb_transfer:1166,1,1773332449239,yscb_transfer 204->663
yscb_transfer:1167,1,1773332449240,yscb_transfer 757->193
yscb_transfer:1168,1,1773332449240,yscb_transfer 456->546
yscb_transfer:1169,1,1773332449241,yscb_transfer 989->917
yscb_transfer:1170,1,1773332449241,yscb_transfer 919->185
yscb_transfer:1171,1,1773332449253,yscb_transfer 494->517
yscb_transfer:1173,1,1773332449254,yscb_transfer 480->148
yscb_transfer:1172,1,1773332449254,yscb_transfer 746->462
yscb_transfer:1175,1,1773332449255,yscb_transfer 872->995
yscb_transfer:1174,1,1773332449255,yscb_transfer 507->748
yscb_transfer:1177,1,1773332449256,yscb_transfer 350->548
yscb_transfer:1178,1,1773332449257,yscb_transfer 542->619
yscb_transfer:1176,2,1773332449257,yscb_transfer 872->703
yscb_transfer:1179,1,1773332449258,yscb_transfer 520->816
yscb_transfer:1180,1,1773332449258,yscb_transfer 971->44
yscb_transfer:1181,1,1773332449269,yscb_transfer 545->584
yscb_transfer:1182,1,1773332449270,yscb_transfer 987->659
yscb_transfer:1183,1,1773332449270,yscb_transfer 286->84
yscb_transfer:1184,1,1773332449271,yscb_transfer 265->260
yscb_transfer:1185,1,1773332449271,yscb_transfer 491->400
yscb_transfer:1186,1,1773332449272,yscb_transfer 901->769
yscb_transfer:1187,1,1773332449272,yscb_transfer 3->548
yscb_transfer:1188,1,1773332449273,yscb_transfer 231->365
yscb_transfer:1189,1,1773332449273,yscb_transfer 522->196
yscb_transfer:1190,1,1773332449274,yscb_transfer 866->787
yscb_transfer:1192,1,1773332449284,yscb_transfer 901->76
yscb_transfer:1191,1,1773332449284,yscb_transfer 635->227
yscb_transfer:1193,1,1773332449285,yscb_transfer 78->441
yscb_transfer:1194,1,1773332449285,yscb_transfer 584->525
yscb_transfer:1195,1,1773332449286,yscb_transfer 902->259
yscb_transfer:1196,1,1773332449287,yscb_transfer 937->547
yscb_transfer:1197,1,1773332449287,yscb_transfer 748->791
yscb_transfer:1198,1,1773332449288,yscb_transfer 567->920
yscb_transfer:1199,1,1773332449288,yscb_transfer 642->403
yscb_transfer:1200,1,1773332449288,yscb_transfer 830->725
yscb_transfer:1201,1,1773332449299,yscb_transfer 365->195
yscb_transfer:1202,1,1773332449300,yscb_transfer 126->50
yscb_transfer:1205,2,1773332449301,yscb_transfer 702->907
yscb_transfer:1204,2,1773332449301,yscb_transfer 119->73
yscb_transfer:1203,2,1773332449301,yscb_transfer 116->467
yscb_transfer:1206,2,1773332449302,yscb_transfer 244->897
yscb_transfer:1207,1,1773332449302,yscb_transfer 834->640
yscb_transfer:1208,1,1773332449303,yscb_transfer 779->280
yscb_transfer:1209,1,1773332449303,yscb_transfer 534->373
yscb_transfer:1210,1,1773332449303,yscb_transfer 845->603
yscb_transfer:1211,1,1773332449315,yscb_transfer 862->57
yscb_transfer:1212,1,1773332449316,yscb_transfer 342->401
yscb_transfer:1213,1,1773332449316,yscb_transfer 271->371
yscb_transfer:1214,2,1773332449317,yscb_transfer 50->573
yscb_transfer:1215,1,1773332449317,yscb_transfer 509->879
yscb_transfer:1216,1,1773332449317,yscb_transfer 442->38
yscb_transfer:1217,1,1773332449318,yscb_transfer 769->373
yscb_transfer:1218,1,1773332449319,yscb_transfer 643->228
yscb_transfer:1219,1,1773332449319,yscb_transfer 99->685
yscb_transfer:1220,1,1773332449319,yscb_transfer 855->334
yscb_transfer:1221,1,1773332449331,yscb_transfer 961->64
yscb_transfer:1222,1,1773332449331,yscb_transfer 988->551
yscb_transfer:1223,1,1773332449332,yscb_transfer 436->384
yscb_transfer:1224,1,1773332449333,yscb_transfer 405->869
yscb_transfer:1225,1,1773332449333,yscb_transfer 579->355
yscb_transfer:1226,1,1773332449334,yscb_transfer 783->686
yscb_transfer:1227,2,1773332449335,yscb_transfer 862->283
yscb_transfer:1228,2,1773332449335,yscb_transfer 135->687
yscb_transfer:1229,2,1773332449335,yscb_transfer 325->895
yscb_transfer:1230,1,1773332449335,yscb_transfer 300->693
yscb_transfer:1232,1,1773332449346,yscb_transfer 732->792
yscb_transfer:1231,1,1773332449346,yscb_transfer 825->554
yscb_transfer:1234,1,1773332449347,yscb_transfer 520->626
yscb_transfer:1233,1,1773332449347,yscb_transfer 536->700
yscb_transfer:1235,1,1773332449348,yscb_transfer 527->135
yscb_transfer:1236,1,1773332449349,yscb_transfer 449->39
yscb_transfer:1237,1,1773332449350,yscb_transfer 974->432
yscb_transfer:1238,1,1773332449350,yscb_transfer 562->735
yscb_transfer:1239,1,1773332449350,yscb_transfer 943->874
yscb_transfer:1240,1,1773332449351,yscb_transfer 182->574
yscb_transfer:1241,1,1773332449362,yscb_transfer 370->901
yscb_transfer:1242,1,1773332449363,yscb_transfer 859->956
yscb_transfer:1243,1,1773332449363,yscb_transfer 771->441
yscb_transfer:1244,1,1773332449364,yscb_transfer 782->504
yscb_transfer:1245,1,1773332449364,yscb_transfer 427->337
yscb_transfer:1246,1,1773332449365,yscb_transfer 239->36
yscb_transfer:1247,1,1773332449365,yscb_transfer 280->603
yscb_transfer:1249,1,1773332449366,yscb_transfer 1->220
yscb_transfer:1248,1,1773332449366,yscb_transfer 371->257
yscb_transfer:1250,1,1773332449367,yscb_transfer 497->764
yscb_transfer:1251,1,1773332449379,yscb_transfer 234->360
yscb_transfer:1252,1,1773332449380,yscb_transfer 796->921
yscb_transfer:1253,1,1773332449380,yscb_transfer 772->671
yscb_transfer:1254,1,1773332449381,yscb_transfer 857->290
yscb_transfer:1255,1,1773332449381,yscb_transfer 507->276
yscb_transfer:1256,1,1773332449382,yscb_transfer 555->616
yscb_transfer:1257,1,1773332449383,yscb_transfer 209->915
yscb_transfer:1258,1,1773332449384,yscb_transfer 304->262
yscb_transfer:1259,1,1773332449384,yscb_transfer 250->23
yscb_transfer:1260,1,1773332449384,yscb_transfer 891->378
yscb_transfer:1261,1,1773332449396,yscb_transfer 160->991
yscb_transfer:1263,1,1773332449397,yscb_transfer 691->385
yscb_transfer:1262,1,1773332449397,yscb_transfer 29->260
yscb_transfer:1264,1,1773332449398,yscb_transfer 407->948
yscb_transfer:1265,1,1773332449398,yscb_transfer 208->6
yscb_transfer:1266,1,1773332449399,yscb_transfer 865->216
yscb_transfer:1267,1,1773332449400,yscb_transfer 559->634
yscb_transfer:1268,1,1773332449400,yscb_transfer 171->58
yscb_transfer:1269,1,1773332449401,yscb_transfer 37->465
yscb_transfer:1270,1,1773332449401,yscb_transfer 840->852
yscb_transfer:1271,1,1773332449414,yscb_transfer 542->637
yscb_transfer:1272,1,1773332449414,yscb_transfer 583->455
yscb_transfer:1273,1,1773332449415,yscb_transfer 181->470
yscb_transfer:1274,1,1773332449416,yscb_transfer 731->10
yscb_transfer:1275,2,1773332449417,yscb_transfer 227->231
yscb_transfer:1279,2,1773332449418,yscb_transfer 299->501
yscb_transfer:1278,2,1773332449418,yscb_transfer 923->549
yscb_transfer:1277,2,1773332449418,yscb_transfer 844->803
yscb_transfer:1276,2,1773332449418,yscb_transfer 235->230
yscb_transfer:1280,1,1773332449419,yscb_transfer 105->6
yscb_transfer:1281,1,1773332449430,yscb_transfer 896->108
yscb_transfer:1282,1,1773332449430,yscb_transfer 744->824
yscb_transfer:1283,1,1773332449431,yscb_transfer 491->303
yscb_transfer:1284,1,1773332449432,yscb_transfer 181->865
yscb_transfer:1285,1,1773332449432,yscb_transfer 943->784
yscb_transfer:1286,2,1773332449433,yscb_transfer 317->18
yscb_transfer:1287,2,1773332449434,yscb_transfer 358->291
yscb_transfer:1288,2,1773332449434,yscb_transfer 529->651
yscb_transfer:1289,1,1773332449434,yscb_transfer 458->99
yscb_transfer:1290,1,1773332449434,yscb_transfer 397->88
yscb_transfer:1291,1,1773332449446,yscb_transfer 860->988
yscb_transfer:1292,1,1773332449447,yscb_transfer 106->253
yscb_transfer:1293,1,1773332449447,yscb_transfer 515->926
yscb_transfer:1294,1,1773332449448,yscb_transfer 941->956
yscb_transfer:1295,1,1773332449448,yscb_transfer 326->867
yscb_transfer:1296,1,1773332449449,yscb_transfer 473->34
yscb_transfer:1297,1,1773332449449,yscb_transfer 348->612
yscb_transfer:1298,1,1773332449450,yscb_transfer 221->521
yscb_transfer:1299,1,1773332449451,yscb_transfer 193->824
yscb_transfer:1300,1,1773332449451,yscb_transfer 276->112
yscb_transfer:1301,1,1773332449462,yscb_transfer 739->901
yscb_transfer:1302,1,1773332449463,yscb_transfer 795->63
yscb_transfer:1303,1,1773332449463,yscb_transfer 251->152
yscb_transfer:1304,1,1773332449463,yscb_transfer 611->325
yscb_transfer:1305,1,1773332449464,yscb_transfer 271->79
yscb_transfer:1306,1,1773332449465,yscb_transfer 258->193
yscb_transfer:1307,1,1773332449465,yscb_transfer 214->320
yscb_transfer:1308,1,1773332449466,yscb_transfer 721->585
yscb_transfer:1309,1,1773332449466,yscb_transfer 124->970
yscb_transfer:1310,1,1773332449467,yscb_transfer 641->438
yscb_transfer:1311,1,1773332449478,yscb_transfer 738->854
yscb_transfer:1312,1,1773332449479,yscb_transfer 787->479
yscb_transfer:1313,1,1773332449479,yscb_transfer 822->696
yscb_transfer:1314,1,1773332449480,yscb_transfer 712->991
yscb_transfer:1315,1,1773332449481,yscb_transfer 781->121
yscb_transfer:1316,1,1773332449481,yscb_transfer 348->835
yscb_transfer:1317,1,1773332449482,yscb_transfer 330->303
yscb_transfer:1318,1,1773332449483,yscb_transfer 246->920
yscb_transfer:1320,1,1773332449484,yscb_transfer 433->137
yscb_transfer:1319,2,1773332449484,yscb_transfer 246->89
yscb_transfer:1321,1,1773332449495,yscb_transfer 569->809
yscb_transfer:1322,1,1773332449496,yscb_transfer 937->514
yscb_transfer:1323,1,1773332449497,yscb_transfer 561->269
yscb_transfer:1324,1,1773332449497,yscb_transfer 984->71
yscb_transfer:1325,1,1773332449498,yscb_transfer 192->797
yscb_transfer:1326,1,1773332449498,yscb_transfer 272->707
yscb_transfer:1327,1,1773332449499,yscb_transfer 216->380
yscb_transfer:1328,1,1773332449500,yscb_transfer 929->593
yscb_transfer:1329,1,1773332449500,yscb_transfer 564->545
yscb_transfer:1330,1,1773332449500,yscb_transfer 49->411
yscb_transfer:1331,1,1773332449511,yscb_transfer 588->103
yscb_transfer:1332,1,1773332449511,yscb_transfer 975->822
yscb_transfer:1333,1,1773332449512,yscb_transfer 445->363
yscb_transfer:1336,1,1773332449513,yscb_transfer 908->430
yscb_transfer:1334,1,1773332449513,yscb_transfer 218->566
yscb_transfer:1335,1,1773332449513,yscb_transfer 145->512
yscb_transfer:1337,1,1773332449514,yscb_transfer 646->959
yscb_transfer:1338,1,1773332449514,yscb_transfer 688->527
yscb_transfer:1339,1,1773332449515,yscb_transfer 557->404
yscb_transfer:1340,1,1773332449515,yscb_transfer 388->628
yscb_transfer:1341,1,1773332449527,yscb_transfer 456->1
yscb_transfer:1342,1,1773332449527,yscb_transfer 746->276
yscb_transfer:1343,1,1773332449528,yscb_transfer 683->630
yscb_transfer:1344,1,1773332449528,yscb_transfer 61->745
yscb_transfer:1345,1,1773332449529,yscb_transfer 517->73
yscb_transfer:1346,1,1773332449529,yscb_transfer 454->45
yscb_transfer:1347,1,1773332449530,yscb_transfer 933->895
yscb_transfer:1348,1,1773332449530,yscb_transfer 258->606
yscb_transfer:1350,1,1773332449531,yscb_transfer 297->232
yscb_transfer:1349,1,1773332449531,yscb_transfer 750->808
yscb_transfer:1351,1,1773332449542,yscb_transfer 961->271
yscb_transfer:1352,1,1773332449543,yscb_transfer 985->77
yscb_transfer:1353,1,1773332449543,yscb_transfer 231->134
yscb_transfer:1354,1,1773332449544,yscb_transfer 388->633
yscb_transfer:1355,1,1773332449544,yscb_transfer 875->148
yscb_transfer:1356,1,1773332449545,yscb_transfer 768->297
yscb_transfer:1357,1,1773332449545,yscb_transfer 455->904
yscb_transfer:1358,1,1773332449546,yscb_transfer 914->619
yscb_transfer:1359,1,1773332449546,yscb_transfer 579->99
yscb_transfer:1360,1,1773332449546,yscb_transfer 758->814
yscb_transfer:1361,1,1773332449558,yscb_transfer 139->334
yscb_transfer:1362,1,1773332449558,yscb_transfer 507->72
yscb_transfer:1364,1,1773332449559,yscb_transfer 425->516
yscb_transfer:1363,2,1773332449559,yscb_transfer 202->882
yscb_transfer:1365,1,1773332449560,yscb_transfer 815->379
yscb_transfer:1366,1,1773332449561,yscb_transfer 195->654
yscb_transfer:1367,2,1773332449561,yscb_transfer 444->200
yscb_transfer:1368,1,1773332449561,yscb_transfer 13->268
yscb_transfer:1369,1,1773332449562,yscb_transfer 846->481
yscb_transfer:1370,1,1773332449562,yscb_transfer 813->468
yscb_transfer:1371,1,1773332449574,yscb_transfer 362->119
yscb_transfer:1372,1,1773332449574,yscb_transfer 974->207
yscb_transfer:1373,1,1773332449575,yscb_transfer 728->335
yscb_transfer:1374,1,1773332449575,yscb_transfer 381->226
yscb_transfer:1375,1,1773332449576,yscb_transfer 282->439
yscb_transfer:1376,1,1773332449576,yscb_transfer 368->865
yscb_transfer:1378,1,1773332449577,yscb_transfer 695->813
yscb_transfer:1377,1,1773332449577,yscb_transfer 193->670
yscb_transfer:1380,1,1773332449578,yscb_transfer 799->607
yscb_transfer:1379,1,1773332449578,yscb_transfer 901->877
yscb_transfer:1381,1,1773332449588,yscb_transfer 387->388
yscb_transfer:1382,1,1773332449588,yscb_transfer 643->249
yscb_transfer:1383,1,1773332449589,yscb_transfer 892->330
yscb_transfer:1384,1,1773332449589,yscb_transfer 100->682
yscb_transfer:1385,1,1773332449590,yscb_transfer 81->586
yscb_transfer:1386,1,1773332449591,yscb_transfer 261->959
yscb_transfer:1387,1,1773332449591,yscb_transfer 45->553
yscb_transfer:1388,2,1773332449592,yscb_transfer 689->733
yscb_transfer:1389,1,1773332449592,yscb_transfer 282->802
yscb_transfer:1390,1,1773332449592,yscb_transfer 568->393
yscb_transfer:1391,1,1773332449601,yscb_transfer 915->429
yscb_transfer:1392,1,1773332449602,yscb_transfer 289->346
yscb_transfer:1393,1,1773332449603,yscb_transfer 449->733
yscb_transfer:1396,1,1773332449604,yscb_transfer 240->23
yscb_transfer:1394,1,1773332449604,yscb_transfer 12->302
yscb_transfer:1395,1,1773332449604,yscb_transfer 453->981
yscb_transfer:1397,1,1773332449605,yscb_transfer 777->834
yscb_transfer:1398,1,1773332449606,yscb_transfer 387->299
yscb_transfer:1399,1,1773332449606,yscb_transfer 487->848
yscb_transfer:1400,1,1773332449606,yscb_transfer 644->533
yscb_transfer:1401,1,1773332449618,yscb_transfer 403->51
yscb_transfer:1402,1,1773332449618,yscb_transfer 600->743
yscb_transfer:1403,1,1773332449619,yscb_transfer 85->980
yscb_transfer:1404,1,1773332449619,yscb_transfer 475->835
yscb_transfer:1405,1,1773332449620,yscb_transfer 181->349
yscb_transfer:1406,1,1773332449620,yscb_transfer 676->402
yscb_transfer:1407,1,1773332449621,yscb_transfer 184->610
yscb_transfer:1409,1,1773332449622,yscb_transfer 974->872
yscb_transfer:1408,1,1773332449622,yscb_transfer 235->171
yscb_transfer:1410,1,1773332449623,yscb_transfer 25->250
yscb_transfer:1411,1,1773332449633,yscb_transfer 198->409
yscb_transfer:1412,2,1773332449634,yscb_transfer 669->410
yscb_transfer:1413,2,1773332449635,yscb_transfer 103->424
yscb_transfer:1414,2,1773332449635,yscb_transfer 86->959
yscb_transfer:1415,2,1773332449636,yscb_transfer 328->279
yscb_transfer:1416,2,1773332449636,yscb_transfer 5->366
yscb_transfer:1417,2,1773332449636,yscb_transfer 740->929
yscb_transfer:1418,2,1773332449636,yscb_transfer 925->278
yscb_transfer:1419,1,1773332449636,yscb_transfer 417->420
yscb_transfer:1420,1,1773332449636,yscb_transfer 514->760
yscb_transfer:1421,1,1773332449645,yscb_transfer 520->257
yscb_transfer:1422,1,1773332449646,yscb_transfer 797->226
yscb_transfer:1424,1,1773332449647,yscb_transfer 617->930
yscb_transfer:1423,1,1773332449647,yscb_transfer 745->460
yscb_transfer:1425,1,1773332449648,yscb_transfer 731->871
yscb_transfer:1426,1,1773332449649,yscb_transfer 439->65
yscb_transfer:1427,1,1773332449649,yscb_transfer 816->754
yscb_transfer:1428,1,1773332449650,yscb_transfer 685->907
yscb_transfer:1429,1,1773332449650,yscb_transfer 563->819
yscb_transfer:1430,1,1773332449651,yscb_transfer 973->237
yscb_transfer:1431,1,1773332449661,yscb_transfer 321->322
yscb_transfer:1432,1,1773332449662,yscb_transfer 358->437
yscb_transfer:1433,1,1773332449662,yscb_transfer 797->743
yscb_transfer:1434,1,1773332449663,yscb_transfer 760->564
yscb_transfer:1435,1,1773332449663,yscb_transfer 380->166
yscb_transfer:1436,1,1773332449664,yscb_transfer 564->538
yscb_transfer:1438,1,1773332449665,yscb_transfer 429->930
yscb_transfer:1437,1,1773332449665,yscb_transfer 608->474
yscb_transfer:1439,1,1773332449666,yscb_transfer 896->13
yscb_transfer:1440,1,1773332449666,yscb_transfer 516->427
yscb_transfer:1441,1,1773332449677,yscb_transfer 356->671
yscb_transfer:1442,1,1773332449678,yscb_transfer 452->567
yscb_transfer:1443,1,1773332449679,yscb_transfer 13->478
yscb_transfer:1444,1,1773332449679,yscb_transfer 244->237
yscb_transfer:1445,1,1773332449680,yscb_transfer 692->581
yscb_transfer:1446,1,1773332449681,yscb_transfer 356->462
yscb_transfer:1447,1,1773332449681,yscb_transfer 800->260
yscb_transfer:1448,1,1773332449682,yscb_transfer 46->541
yscb_transfer:1449,1,1773332449682,yscb_transfer 244->655
yscb_transfer:1450,1,1773332449682,yscb_transfer 92->376
